rank,model_score,trend_pct,recommended_action
1,1.0,-0.4867,Refresh
2,1.0,-0.803,Refresh
3,1.0,-1.0,Refresh
4,1.0,-0.4354,Refresh
5,1.0,-0.7583,Refresh
6,1.0,-0.8385,Refresh
7,1.0,-0.2926,Refresh
8,1.0,-0.8163,Refresh
9,1.0,-0.8281,Refresh
10,1.0,-0.3037,Refresh
11,1.0,-0.8917,Refresh
12,1.0,-0.5754,Refresh
13,1.0,-0.7611,Refresh
14,1.0,-0.5136,Refresh
15,1.0,-0.8716,Refresh
16,1.0,-0.3462,Refresh
17,1.0,-0.6667,Refresh
18,1.0,-0.8973,Refresh
19,1.0,-0.7591,Refresh
20,1.0,-0.787,Refresh
21,1.0,-0.3951,Refresh
22,1.0,-0.744,Refresh
23,1.0,-0.4881,Refresh
24,1.0,-0.5886,Refresh
25,1.0,-0.6543,Refresh
26,1.0,-0.5795,Refresh
27,1.0,-0.8429,Refresh
28,1.0,-0.7846,Refresh
29,1.0,-0.5072,Refresh
30,1.0,-0.3803,Refresh
31,1.0,-0.4335,Refresh
32,1.0,-0.6401,Refresh
33,1.0,-0.5674,Refresh
34,1.0,-0.8342,Refresh
35,1.0,-0.261,Refresh
36,1.0,-0.512,Refresh
37,1.0,-0.7937,Refresh
38,1.0,-0.5642,Refresh
39,1.0,-0.462,Refresh
40,1.0,-0.7037,Refresh
41,1.0,-0.6433,Refresh
42,1.0,-0.5908,Refresh
43,1.0,-0.8455,Refresh
44,1.0,-0.716,Refresh
45,1.0,-0.7433,Refresh
46,1.0,-0.8074,Refresh
47,1.0,-0.6733,Refresh
48,1.0,-0.7849,Refresh
49,1.0,-0.4375,Refresh
50,1.0,-0.3929,Refresh
